Product Name,Original Price,Selling Price,Specifiactions,Image Url,Rating
"Redmi 6 (Black, 64 GB)","₹10,499","₹7,499",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,4.3
"OPPO A3s (Purple, 64 GB)","₹13,990","₹9,990",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.75 cm (6.2 inch) HD+ Display13MP + 2MP | 8MP Front Camera4230 mAh BatteryQualcomm Snapdragon 450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://rukminim1.flixcart.com/image/312/312/jlo1tow0/mobile/g/v/x/mi-redmi-6-na-original-imaf8qtkgh6qhs3p.jpeg?q=70,4.4
"Redmi 6 (Gold, 64 GB)","₹10,499","₹7,499",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==",4.4
"Redmi 6 (Rose Gold, 64 GB)","₹10,499","₹7,499",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,4.5
"Realme 3 Pro (Nitro Blue, 128 GB)","₹19,999","₹16,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorDual Nano SIM Slot and Memory Card SlotVOOC Flash Charge 3.0Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://rukminim1.flixcart.com/image/312/312/jw9ke4w0/mobile-refurbished/e/h/s/redmi-note-7s-64-c-m1901f71-mi-4-original-imafe48yggp2za54.jpeg?q=70,4.5
"Redmi Note 5 Pro (Gold, 64 GB)","₹16,999","₹11,999",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB15.21 cm (5.99 inch) Full HD+ Display12MP + 5MP | 20MP Front Camera4000 mAh Li Polymer BatteryQualcomm Snapdragon 636 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==",4.2
"Infinix Smart 3 Plus (Sapphire Cyan, 32 GB)","₹7,999","₹6,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.77 cm (6.21 inch) HD+ Display13MP + 2MP + Low Light Sensor | 8MP Front Camera3500 mAh Li-ion Polymer BatteryMediaTek A22 Quad Core 2.0GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,4.3
"Honor 9i (Graphite Black, 64 GB)","₹19,999","₹8,999","4 GB RAM | 64 GB ROM | Expandable Upto 128 GB14.99 cm (5.9 inch) Full HD+ Display16MP + 2MP | 13MP + 2MP Dual Front Camera3340 mAh BatteryHuawei Kirin 659 Octa Core Clocked up to 2.36 GHz Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",https://rukminim1.flixcart.com/image/312/312/juk4gi80/mobile/m/f/b/realme-3-pro-rmx-1851-original-imaffnummgzjf4jv.jpeg?q=70,4.3
"Redmi Go (Blue, 16 GB)","₹5,999","₹4,799",1 GB RAM | 16 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display8MP Rear Camera | 5MP Front Camera3000 mAh Li Polymer BatteryQualcomm Snapdragon 425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==",4.5
"Redmi Note 6 Pro (Red, 64 GB)","₹15,999","₹11,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.9 cm (6.26 inch) FHD+ Display12MP + 5MP | 20MP + 2MP Dual Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 636 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fa_8b4b59.png,4.4
"Honor 9N (Sapphire Blue, 32 GB)","₹13,999","₹8,499","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB14.83 cm (5.84 inches) Display13MP + 2MP | 16MP Front Camera3000 mAh BatteryKirin 659 Octa Core Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",https://rukminim1.flixcart.com/image/312/312/juk4gi80/mobile/m/f/b/realme-3-pro-rmx-1851-original-imaffnummgzjf4jv.jpeg?q=70,4.3
"Honor 9i (Aurora Blue, 64 GB)","₹19,999","₹8,999","4 GB RAM | 64 GB ROM | Expandable Upto 128 GB14.99 cm (5.9 inch) Full HD+ Display16MP + 2MP | 13MP + 2MP Dual Front Camera3340 mAh BatteryHuawei Kirin 659 Octa Core Clocked up to 2.36 GHz Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==",4.6
